"id","region","country_code","country","city","latitude","longitude","long_name","short_name","prefixes","status","established","url"
2,"South America","ARG","Argentina","Buenos Aires",-34.57000,-58.42000,"NAP CABASE Buenos Aires","NAP CABASE Buenos Aires",8576,"Active",19980401,"http://www.cabase.org.ar"
6,"Oceania","AUS","Australia","Melbourne",-37.82000,144.97000,"AUSIX","AUSIX",0,"Active",20010700,"http://www.ausix.net/"
8,"Oceania","AUS","Australia","Melbourne",-37.82000,144.97000,"Victoria Internet Exchange","VIC-IX",0,"Active",20110000,"http://www.ix.asn.au/peering.html"
9,"Oceania","AUS","Australia","Perth",-31.93000,115.95000,"Western Australian Internet Association (Inc.)","WAIX",22197,"Active",19970000,"http://www.ix.asn.au/peering.html"
12,"Oceania","AUS","Australia","Sydney",-33.95000,151.17999,"Equinix Sydney","Equinix Sydney",32042,"Active",20030000,"http://www.equinix.com"
13,"Oceania","AUS","Australia","Brisbane",-27.38000,153.10001,"PIPE Networks Brisbane","PIPE Brisbane",0,"Active",20020500,"http://www.pipenetworks.com"
14,"Europe","AUT","Austria","Graz",47.07030,15.43890,"Grazer Internet Exchange","GraX",0,"Active",20100304,"http://www.grax.at/"
15,"Europe","AUT","Austria","Vienna",48.20000,16.37000,"Vienna Internet Exchange","VIX",132695,"Active",19960400,"http://www.VIX.at/"
16,"Asia","BGD","Bangladesh","Dhaka",23.77000,90.38000,"Bangladesh Internet Exchange","BDIX",2006,"Active",20040826,"http://www.bdix.net/"
17,"Europe","BEL","Belgium","Brussels",50.90000,4.53000,"Belgian National Internet Exchange","BNIX",0,"Active",19950000,"http://www.bnix.net/"
19,"South America","BRA","Brazil","Belo Horizonte",-19.63000,-43.97000,"Ponto de Troca de Tráfego do Belo Horizonte","PTT Belo Horizonte",0,"Active",20100100,"http://ptt.br/adesao/mg/"
20,"South America","BRA","Brazil","Brasília",-15.78000,-47.93000,"Ponto de Troca de Tráfego do Brasília","PTT Brasília",0,"Active",20090000,"http://ptt.br/adesao/df"
22,"South America","BRA","Brazil","Florianópolis",-27.58000,-48.57000,"Ponto de Troca de Tráfego do Florianópolis","PTT Florianópolis",0,"Active",20080000,"http://ptt.br/adesao/ce"
29,"South America","BRA","Brazil","São Paulo",-23.62000,-46.65000,"NAP do Brasil","NAP do Brasil",0,"Active",19980000,"http://www.terremark.com/data-centers/americas/nap-brazil.aspx"
30,"South America","BRA","Brazil","São Paulo",-23.62000,-46.65000,"Ponto de Troca de Tráfego Metro São Paulo","PTTMetro São Paulo",0,"Active",20041004,"http://ptt.br/adesao/sp"
37,"North America","CAN","Canada","Ottawa",45.40000,-75.72000,"Ottawa Internet Exchange","OttIX",1041,"Active",20010410,"http://www.ottix.net/"
39,"North America","CAN","Canada","Toronto",43.67000,-79.40000,"Toronto Internet Exchange","TORIX",79217,"Active",19980000,"http://www.torix.net/"
41,"South America","CHL","Chile","Santiago",-33.38000,-70.78000,"NAP Chile","NAP Chile",0,"Active",19970900,"http://www.nap.cl/"
